origin_zip_range,dest_zip_range,fedex_express_zone,fedex_ground_zone
00000-00399,00000-99999,NA,NA
00400-00499,00000-00399,NA,NA
00400-00499,00400-00599,2,2
00400-00499,00600-00799,*,NA
00400-00499,00800-00899,NA,NA
00400-00499,00900-00999,*,NA
00400-00499,01000-01399,2,2
00400-00499,01400-01499,3,3
00400-00499,01500-01899,2,2
00400-00499,01900-01999,3,3
00400-00499,02000-02499,2,2
00400-00499,02500-02699,3,3
00400-00499,02700-02999,2,2
00400-00499,03000-03399,3,3
00400-00499,03400-03499,2,2
00400-00499,03500-04399,3,3
00400-00499,04400-04499,4,4
00400-00499,04500-04599,3,3
00400-00499,04600-04999,4,4
00400-00499,05000-05199,3,3
00400-00499,05200-05399,2,2
00400-00499,05400-05499,3,3
00400-00499,05500-05599,2,2
00400-00499,05600-05999,3,3
00400-00499,06000-12799,2,2
00400-00499,12800-13699,3,3
00400-00499,13700-13999,2,2
00400-00499,14000-14299,3,3
00400-00499,14300-14399,4,4
00400-00499,14400-14999,3,3
00400-00499,15000-15499,4,4
00400-00499,15500-15599,3,3
00400-00499,15600-15699,4,4
00400-00499,15700-15999,3,3
00400-00499,16000-16299,4,4
00400-00499,16300-16399,3,3
00400-00499,16400-16599,4,4
00400-00499,16600-16999,3,3
00400-00499,17000-17299,2,2
00400-00499,17300-17499,3,3
00400-00499,17500-17699,2,2
00400-00499,17700-17799,3,3
00400-00499,17800-19999,2,2
00400-00499,20000-21899,3,3
00400-00499,21900-21999,2,2
00400-00499,22000-23899,3,3
00400-00499,23900-25399,4,4
00400-00499,25400-25499,3,3
00400-00499,25500-26699,4,4
00400-00499,26700-26799,3,3
00400-00499,26800-28899,4,4
00400-00499,28900-29299,5,5
00400-00499,29300-29399,4,4
00400-00499,29400-29499,5,5
00400-00499,29500-29799,4,4
00400-00499,29800-32499,5,5
00400-00499,32500-32599,6,6
00400-00499,32600-32999,5,5
00400-00499,33000-33499,6,6
00400-00499,33500-33699,5,5
00400-00499,33700-33799,6,6
00400-00499,33800-33899,5,5
00400-00499,33900-33999,6,6
00400-00499,34000-34099,5,5
00400-00499,34100-34199,6,6
00400-00499,34200-34799,5,5
00400-00499,34800-34899,NA,NA
00400-00499,34900-34999,6,6
00400-00499,35000-36499,5,5
00400-00499,36500-36699,6,6
00400-00499,36700-37599,5,5
00400-00499,37600-37699,4,4
00400-00499,37700-38699,5,5
00400-00499,38700-38799,6,6
00400-00499,38800-38999,5,5
00400-00499,39000-39299,6,6
00400-00499,39300-39399,5,5
00400-00499,39400-39699,6,6
00400-00499,39700-39799,5,5
00400-00499,39800-39899,NA,NA
00400-00499,39900-40299,5,5
00400-00499,40300-40699,4,4
00400-00499,40700-40999,5,5
00400-00499,41000-41899,4,4
00400-00499,41900-41999,NA,NA
00400-00499,42000-42799,5,5
00400-00499,42800-42999,NA,NA
00400-00499,43000-45999,4,4
00400-00499,46000-46699,5,5
00400-00499,46700-46899,4,4
00400-00499,46900-46999,5,5
00400-00499,47000-47099,4,4
00400-00499,47100-47299,5,5
00400-00499,47300-47399,4,4
00400-00499,47400-47999,5,5
00400-00499,48000-48999,4,4
00400-00499,49000-49199,5,5
00400-00499,49200-49299,4,4
00400-00499,49300-49999,5,5
00400-00499,50000-50399,6,6
00400-00499,50400-50499,5,5
00400-00499,50500-50599,6,6
00400-00499,50600-50799,5,5
00400-00499,50800-51699,6,6
00400-00499,51700-51999,NA,NA
00400-00499,52000-53999,5,5
00400-00499,54000-54099,6,6
00400-00499,54100-54999,5,5
00400-00499,55000-55599,6,6
00400-00499,55600-55999,5,5
00400-00499,56000-57699,6,6
00400-00499,57700-57799,7,7
00400-00499,57800-57999,NA,NA
00400-00499,58000-58599,6,6
00400-00499,58600-59399,7,7
00400-00499,59400-59999,8,8
00400-00499,60000-63999,5,5
00400-00499,64000-64999,6,6
00400-00499,65000-65299,5,5
00400-00499,65300-65399,6,6
00400-00499,65400-65599,5,5
00400-00499,65600-67699,6,6
00400-00499,67700-67999,7,7
00400-00499,68000-68999,6,6
00400-00499,69000-69099,7,7
00400-00499,69100-69299,6,6
00400-00499,69300-69399,7,7
00400-00499,69400-69999,NA,NA
00400-00499,70000-72299,6,6
00400-00499,72300-72499,5,5
00400-00499,72500-73299,6,6
00400-00499,73300-73399,7,7
00400-00499,73400-73899,6,6
00400-00499,73900-73999,7,7
00400-00499,74000-76299,6,6
00400-00499,76300-76399,7,7
00400-00499,76400-76499,6,6
00400-00499,76500-77299,7,7
00400-00499,77300-77399,6,6
00400-00499,77400-77599,7,7
00400-00499,77600-77799,6,6
00400-00499,77800-79799,7,7
00400-00499,79800-79999,8,8
00400-00499,80000-81299,7,7
00400-00499,81300-81399,8,8
00400-00499,81400-81499,7,7
00400-00499,81500-81599,8,8
00400-00499,81600-82099,7,7
00400-00499,82100-82199,8,8
00400-00499,82200-82899,7,7
00400-00499,82900-87499,8,8
00400-00499,87500-87799,7,7
00400-00499,87800-88099,8,8
00400-00499,88100-88499,7,7
00400-00499,88500-96699,8,96700
00400-00499,96701,10,9
00400-00499,96702-96705,12,9
00400-00499,96706-96707,10,9
00400-00499,96708,12,9
00400-00499,96709,10,9
00400-00499,96710,12,9
00400-00499,96711-96712,10,9
00400-00499,96713-96716,12,9
00400-00499,96717,10,9
00400-00499,96718-96729,12,9
00400-00499,96730-96731,10,9
00400-00499,96732-96733,12,9
00400-00499,96734,10,9
00400-00499,96735-96743,12,9
00400-00499,96744,10,9
00400-00499,96745-96757,12,9
00400-00499,96758-96759,10,9
00400-00499,96760-96761,12,9
00400-00499,96762,10,9
00400-00499,96763-96774,12,9
00400-00499,96775,10,9
00400-00499,96776-96781,12,9
00400-00499,96782,10,9
00400-00499,96783-96785,12,9
00400-00499,96786,10,9
00400-00499,96787-96788,12,9
00400-00499,96789,10,9
00400-00499,96790,12,9
00400-00499,96791-96792,10,9
00400-00499,96793,12,9
00400-00499,96794-96795,10,9
00400-00499,96796,12,9
00400-00499,96797,10,9
00400-00499,96798-96800,12,9
00400-00499,96801-96863,10,9
00400-00499,96864-96899,12,9
00400-00499,96900-96999,NA,NA
00400-00499,97000-99499,8,99500
00400-00499,99501-99524,9,17
00400-00499,99525-99539,11,17
00400-00499,99540,9,17
00400-00499,99541-99566,11,17
00400-00499,99567,9,17
00400-00499,99568-99576,11,17
00400-00499,99577,9,17
00400-00499,99578-99999,11,17
00500-00599,00000-00399,NA,NA
00500-00599,00400-00599,2,2
00500-00599,00600-00799,*,NA
00500-00599,00800-00899,NA,NA
00500-00599,00900-00999,*,NA
00500-00599,01000-01399,2,2
00500-00599,01400-01499,3,3
00500-00599,01500-01899,2,2
00500-00599,01900-01999,3,3
00500-00599,02000-02499,2,2
00500-00599,02500-02699,3,3
00500-00599,02700-02999,2,2
00500-00599,03000-03399,3,3
00500-00599,03400-03499,2,2
00500-00599,03500-04399,3,3
00500-00599,04400-04499,4,4
00500-00599,04500-04599,3,3
00500-00599,04600-04999,4,4
00500-00599,05000-05199,3,3
00500-00599,05200-05399,2,2
00500-00599,05400-05499,3,3
00500-00599,05500-05599,2,2
00500-00599,05600-05999,3,3
00500-00599,06000-12799,2,2
00500-00599,12800-13699,3,3
00500-00599,13700-13999,2,2
00500-00599,14000-14299,3,3
00500-00599,14300-14399,4,4
00500-00599,14400-14999,3,3
00500-00599,15000-15499,4,4
00500-00599,15500-15599,3,3
00500-00599,15600-15699,4,4
00500-00599,15700-15999,3,3
00500-00599,16000-16299,4,4
00500-00599,16300-16399,3,3
00500-00599,16400-16599,4,4
00500-00599,16600-16999,3,3
00500-00599,17000-17299,2,2
00500-00599,17300-17499,3,3
00500-00599,17500-17699,2,2
00500-00599,17700-17799,3,3
00500-00599,17800-19999,2,2
00500-00599,20000-21899,3,3
00500-00599,21900-21999,2,2
00500-00599,22000-23899,3,3
00500-00599,23900-25399,4,4
00500-00599,25400-25499,3,3
00500-00599,25500-26699,4,4
00500-00599,26700-26799,3,3
00500-00599,26800-28899,4,4
00500-00599,28900-29299,5,5
00500-00599,29300-29399,4,4
00500-00599,29400-29499,5,5
00500-00599,29500-29799,4,4
00500-00599,29800-32499,5,5
00500-00599,32500-32599,6,6
00500-00599,32600-32999,5,5
00500-00599,33000-33499,6,6
00500-00599,33500-33699,5,5
00500-00599,33700-33799,6,6
00500-00599,33800-33899,5,5
00500-00599,33900-33999,6,6
00500-00599,34000-34099,5,5
00500-00599,34100-34199,6,6
00500-00599,34200-34799,5,5
00500-00599,34800-34899,NA,NA
00500-00599,34900-34999,6,6
00500-00599,35000-36499,5,5
00500-00599,36500-36699,6,6
00500-00599,36700-37599,5,5
00500-00599,37600-37699,4,4
00500-00599,37700-38699,5,5
00500-00599,38700-38799,6,6
00500-00599,38800-38999,5,5
00500-00599,39000-39299,6,6
00500-00599,39300-39399,5,5
00500-00599,39400-39699,6,6
00500-00599,39700-40299,5,5
00500-00599,40300-40699,4,4
00500-00599,40700-40999,5,5
00500-00599,41000-41899,4,4
00500-00599,41900-41999,NA,NA
00500-00599,42000-42799,5,5
00500-00599,42800-42999,NA,NA
00500-00599,43000-45999,4,4
00500-00599,46000-46699,5,5
00500-00599,46700-46899,4,4
00500-00599,46900-46999,5,5
00500-00599,47000-47099,4,4
00500-00599,47100-47299,5,5
00500-00599,47300-47399,4,4
00500-00599,47400-47999,5,5
00500-00599,48000-48999,4,4
00500-00599,49000-49199,5,5
00500-00599,49200-49299,4,4
00500-00599,49300-49999,5,5
00500-00599,50000-50399,6,6
00500-00599,50400-50499,5,5
00500-00599,50500-50599,6,6
00500-00599,50600-50799,5,5
00500-00599,50800-51699,6,6
00500-00599,51700-51999,NA,NA
00500-00599,52000-53999,5,5
00500-00599,54000-54099,6,6
00500-00599,54100-54999,5,5
00500-00599,55000-55599,6,6
00500-00599,55600-55999,5,5
00500-00599,56000-57699,6,6
00500-00599,57700-57799,7,7
00500-00599,57800-57999,NA,NA
00500-00599,58000-58599,6,6
00500-00599,58600-59399,7,7
00500-00599,59400-59999,8,8
00500-00599,60000-63999,5,5
00500-00599,64000-64999,6,6
00500-00599,65000-65299,5,5
00500-00599,65300-65399,6,6
00500-00599,65400-65599,5,5
00500-00599,65600-67699,6,6
00500-00599,67700-67999,7,7
00500-00599,68000-68999,6,6
00500-00599,69000-69099,7,7
00500-00599,69100-69299,6,6
00500-00599,69300-69399,7,7
00500-00599,69400-69999,NA,NA
00500-00599,70000-72299,6,6
00500-00599,72300-72499,5,5
00500-00599,72500-73299,6,6
00500-00599,73300-73399,7,7
00500-00599,73400-73899,6,6
00500-00599,73900-73999,7,7
00500-00599,74000-76299,6,6
00500-00599,76300-76399,7,7
00500-00599,76400-76499,6,6
00500-00599,76500-77299,7,7
00500-00599,77300-77399,6,6
00500-00599,77400-77599,7,7
00500-00599,77600-77799,6,6
00500-00599,77800-79799,7,7
00500-00599,79800-79999,8,8
00500-00599,80000-81299,7,7
00500-00599,81300-81399,8,8
00500-00599,81400-81499,7,7
00500-00599,81500-81599,8,8
00500-00599,81600-82099,7,7
00500-00599,82100-82199,8,8
00500-00599,82200-82899,7,7
00500-00599,82900-87499,8,8
00500-00599,87500-87799,7,7
00500-00599,87800-88099,8,8
00500-00599,88100-88499,7,7
00500-00599,88500-96699,8,96700
00500-00599,96701,10,9
00500-00599,96702-96705,12,9
00500-00599,96706-96707,10,9
00500-00599,96708,12,9
00500-00599,96709,10,9
00500-00599,96710,12,9
00500-00599,96711-96712,10,9
00500-00599,96713-96716,12,9
00500-00599,96717,10,9
00500-00599,96718-96729,12,9
00500-00599,96730-96731,10,9
00500-00599,96732-96733,12,9
00500-00599,96734,10,9
00500-00599,96735-96743,12,9
00500-00599,96744,10,9
00500-00599,96745-96757,12,9
00500-00599,96758-96759,10,9
00500-00599,96760-96761,12,9
00500-00599,96762,10,9
00500-00599,96763-96774,12,9
00500-00599,96775,10,9
00500-00599,96776-96781,12,9
00500-00599,96782,10,9
00500-00599,96783-96785,12,9
00500-00599,96786,10,9
00500-00599,96787-96788,12,9
00500-00599,96789,10,9
00500-00599,96790,12,9
00500-00599,96791-96792,10,9
00500-00599,96793,12,9
00500-00599,96794-96795,10,9
00500-00599,96796,12,9
00500-00599,96797,10,9
00500-00599,96798-96800,12,9
00500-00599,96801-96863,10,9
00500-00599,96864-96899,12,9
00500-00599,96900-96999,NA,NA
00500-00599,97000-99499,8,99500
00500-00599,99501-99524,9,17
00500-00599,99525-99539,11,17
00500-00599,99540,9,17
00500-00599,99541-99566,11,17
00500-00599,99567,9,17
00500-00599,99568-99576,11,17
00500-00599,99577,9,17
00500-00599,99578-99999,11,17
00600-00999,00000-99999,NA,NA
01000-01199,00000-00399,NA,NA
01000-01199,00400-00599,2,2
01000-01199,00600-00799,*,NA
01000-01199,00800-00899,NA,NA
01000-01199,00900-00999,*,NA
01000-01199,01000-04199,2,2
01000-01199,04200-04699,3,3
01000-01199,04700-04799,4,4
01000-01199,04800-04999,3,3
01000-01199,05000-07999,2,2
01000-01199,08000-08699,3,3
01000-01199,08700-12899,2,2
01000-01199,12900-13299,3,3
01000-01199,13300-13599,2,2
01000-01199,13600-13699,3,3
01000-01199,13700-13999,2,2
01000-01199,14000-14299,3,3
01000-01199,14300-14399,4,4
01000-01199,14400-14699,3,3
01000-01199,14700-14799,4,4
01000-01199,14800-14999,3,3
01000-01199,15000-16599,4,4
01000-01199,16600-17999,3,3
01000-01199,18000-18199,2,2
01000-01199,18200-18299,3,3
01000-01199,18300-18399,2,2
01000-01199,18400-18799,3,3
01000-01199,18800-18899,2,2
01000-01199,18900-19999,3,3
01000-01199,20000-20599,4,4
01000-01199,20600-20899,3,3
01000-01199,20900-20999,4,4
01000-01199,21000-21499,3,3
01000-01199,21500-21599,4,4
01000-01199,21600-21999,3,3
01000-01199,22000-24199,4,4
01000-01199,24200-24299,5,5
01000-01199,24300-27999,4,4
01000-01199,28000-28299,5,5
01000-01199,28300-28599,4,4
01000-01199,28600-32299,5,5
01000-01199,32300-32599,6,6
01000-01199,32600-32699,5,5
01000-01199,32700-34299,6,6
01000-01199,34300-34399,NA,NA
01000-01199,34400-34499,5,5
01000-01199,34500-34599,NA,NA
01000-01199,34600-34999,6,6
01000-01199,35000-35399,5,5
01000-01199,35400-35499,6,6
01000-01199,35500-36299,5,5
01000-01199,36300-36799,6,6
01000-01199,36800-36899,5,5
01000-01199,36900-36999,6,6
01000-01199,37000-37499,5,5
01000-01199,37500-37599,6,6
01000-01199,37600-37999,5,5
01000-01199,38000-38199,6,6
01000-01199,38200-38599,5,5
01000-01199,38600-39799,6,6
01000-01199,39800-41099,5,5
01000-01199,41100-41299,4,4
01000-01199,41300-42799,5,5
01000-01199,42800-42999,NA,NA
01000-01199,43000-44999,4,4
01000-01199,45000-45499,5,5
01000-01199,45500-45899,4,4
01000-01199,45900-47999,5,5
01000-01199,48000-48999,4,4
01000-01199,49000-49199,5,5
01000-01199,49200-49299,4,4
01000-01199,49300-49999,5,5
01000-01199,50000-50599,6,6
01000-01199,50600-50799,5,5
01000-01199,50800-51699,6,6
01000-01199,51700-51999,NA,NA
01000-01199,52000-53999,5,5
01000-01199,54000-54099,6,6
01000-01199,54100-54999,5,5
01000-01199,55000-55599,6,6
01000-01199,55600-55999,5,5
01000-01199,56000-57699,6,6
01000-01199,57700-57799,7,7
01000-01199,57800-57999,NA,NA
01000-01199,58000-58599,6,6
01000-01199,58600-59399,7,7
01000-01199,59400-59999,8,8
01000-01199,60000-63499,5,5
01000-01199,63500-63599,6,6
01000-01199,63600-63999,5,5
01000-01199,64000-67699,6,6
01000-01199,67700-67999,7,7
01000-01199,68000-68999,6,6
01000-01199,69000-69399,7,7
01000-01199,69400-69999,NA,NA
01000-01199,70000-72999,6,6
01000-01199,73000-73699,7,7
01000-01199,73700-73799,6,6
01000-01199,73800-73999,7,7
01000-01199,74000-74999,6,6
01000-01199,75000-75499,7,7
01000-01199,75500-75799,6,6
01000-01199,75800-79799,7,7
01000-01199,79800-79999,8,8
01000-01199,80000-81299,7,7
01000-01199,81300-81599,8,8
01000-01199,81600-82099,7,7
01000-01199,82100-82199,8,8
01000-01199,82200-82899,7,7
01000-01199,82900-87499,8,8
01000-01199,87500-87799,7,7
01000-01199,87800-88099,8,8
01000-01199,88100-88199,7,7
01000-01199,88200-88399,8,8
01000-01199,88400-88499,7,7
01000-01199,88500-96699,8,96700
01000-01199,96701,10,9
01000-01199,96702-96705,12,9
01000-01199,96706-96707,10,9
01000-01199,96708,12,9
01000-01199,96709,10,9
01000-01199,96710,12,9
01000-01199,96711-96712,10,9
01000-01199,96713-96716,12,9
01000-01199,96717,10,9
01000-01199,96718-96729,12,9
01000-01199,96730-96731,10,9
01000-01199,96732-96733,12,9
01000-01199,96734,10,9
01000-01199,96735-96743,12,9
01000-01199,96744,10,9
01000-01199,96745-96757,12,9
01000-01199,96758-96759,10,9
01000-01199,96760-96761,12,9
01000-01199,96762,10,9
01000-01199,96763-96774,12,9
01000-01199,96775,10,9
01000-01199,96776-96781,12,9
01000-01199,96782,10,9
01000-01199,96783-96785,12,9
01000-01199,96786,10,9
01000-01199,96787-96788,12,9
01000-01199,96789,10,9
01000-01199,96790,12,9
01000-01199,96791-96792,10,9
01000-01199,96793,12,9
01000-01199,96794-96795,10,9
01000-01199,96796,12,9
01000-01199,96797,10,9
01000-01199,96798-96800,12,9
01000-01199,96801-96863,10,9
01000-01199,96864-96899,12,9
01000-01199,96900-96999,NA,NA
01000-01199,97000-99499,8,99500
01000-01199,99501-99524,9,17
01000-01199,99525-99539,11,17
01000-01199,99540,9,17
01000-01199,99541-99566,11,17
01000-01199,99567,9,17
01000-01199,99568-99576,11,17
01000-01199,99577,9,17
01000-01199,99578-99999,11,17
01200-01299,00000-00399,NA,NA
01200-01299,00400-00599,2,2
01200-01299,00600-00799,*,NA
01200-01299,00800-00899,NA,NA
01200-01299,00900-00999,*,NA
01200-01299,01000-03999,2,2
01200-01299,04000-04699,3,3
01200-01299,04700-04799,4,4
01200-01299,04800-04999,3,3
01200-01299,05000-07999,2,2
01200-01299,08000-08499,3,3
01200-01299,08500-12899,2,2
01200-01299,12900-12999,3,3
01200-01299,13000-13999,2,2
01200-01299,14000-14999,3,3
01200-01299,15000-15799,4,4
01200-01299,15800-15999,3,3
01200-01299,16000-16599,4,4
01200-01299,16600-17999,3,3
01200-01299,18000-18899,2,2
01200-01299,18900-21499,3,3
01200-01299,21500-21599,4,4
01200-01299,21600-22399,3,3
01200-01299,22400-25399,4,4
01200-01299,25400-25499,3,3
01200-01299,25500-27999,4,4
01200-01299,28000-28299,5,5
01200-01299,28300-28699,4,4
01200-01299,28700-32299,5,5
01200-01299,32300-32599,6,6
01200-01299,32600-32699,5,5
01200-01299,32700-34299,6,6
01200-01299,34300-34399,NA,NA
01200-01299,34400-34499,5,5
01200-01299,34500-34599,NA,NA
01200-01299,34600-34999,6,6
01200-01299,35000-36399,5,5
01200-01299,36400-36799,6,6
01200-01299,36800-36899,5,5
01200-01299,36900-36999,6,6
01200-01299,37000-37499,5,5
01200-01299,37500-37599,6,6
01200-01299,37600-37999,5,5
01200-01299,38000-38199,6,6
01200-01299,38200-38599,5,5
01200-01299,38600-38799,6,6
01200-01299,38800-38899,5,5
01200-01299,38900-39799,6,6
01200-01299,39800-41099,5,5
01200-01299,41100-41299,4,4
01200-01299,41300-41499,5,5
01200-01299,41500-41699,4,4
01200-01299,41700-42799,5,5
01200-01299,42800-42999,NA,NA
01200-01299,43000-44999,4,4
01200-01299,45000-45299,5,5
01200-01299,45300-45899,4,4
01200-01299,45900-47999,5,5
01200-01299,48000-48999,4,4
01200-01299,49000-49199,5,5
01200-01299,49200-49299,4,4
01200-01299,49300-49999,5,5
01200-01299,50000-50599,6,6
01200-01299,50600-50799,5,5
01200-01299,50800-51699,6,6
01200-01299,51700-51999,NA,NA
01200-01299,52000-55999,5,5
01200-01299,56000-57699,6,6
01200-01299,57700-57799,7,7
01200-01299,57800-57999,NA,NA
01200-01299,58000-58599,6,6
01200-01299,58600-58699,7,7
01200-01299,58700-58799,6,6
01200-01299,58800-59399,7,7
01200-01299,59400-59499,8,8
01200-01299,59500-59599,7,7
01200-01299,59600-59999,8,8
01200-01299,60000-63499,5,5
01200-01299,63500-63599,6,6
01200-01299,63600-63999,5,5
01200-01299,64000-67699,6,6
01200-01299,67700-67999,7,7
01200-01299,68000-68999,6,6
01200-01299,69000-69199,7,7
01200-01299,69200-69299,6,6
01200-01299,69300-69399,7,7
01200-01299,69400-69999,NA,NA
01200-01299,70000-73299,6,6
01200-01299,73300-73399,7,7
01200-01299,73400-73499,6,6
01200-01299,73500-73699,7,7
01200-01299,73700-73799,6,6
01200-01299,73800-73999,7,7
01200-01299,74000-74999,6,6
01200-01299,75000-75499,7,7
01200-01299,75500-75799,6,6
01200-01299,75800-75899,7,7
01200-01299,75900-75999,6,6
01200-01299,76000-79799,7,7
01200-01299,79800-79999,8,8
01200-01299,80000-81299,7,7
01200-01299,81300-81599,8,8
01200-01299,81600-82099,7,7
01200-01299,82100-82199,8,8
01200-01299,82200-82899,7,7
01200-01299,82900-87499,8,8
01200-01299,87500-87799,7,7
01200-01299,87800-88099,8,8
01200-01299,88100-88299,7,7
01200-01299,88300-88399,8,8
01200-01299,88400-88499,7,7
01200-01299,88500-96699,8,96700
01200-01299,96701,10,9
01200-01299,96702-96705,12,9
01200-01299,96706-96707,10,9
01200-01299,96708,12,9
01200-01299,96709,10,9
01200-01299,96710,12,9
01200-01299,96711-96712,10,9
01200-01299,96713-96716,12,9
01200-01299,96717,10,9
01200-01299,96718-96729,12,9
01200-01299,96730-96731,10,9
01200-01299,96732-96733,12,9
01200-01299,96734,10,9
01200-01299,96735-96743,12,9
01200-01299,96744,10,9
01200-01299,96745-96757,12,9
01200-01299,96758-96759,10,9
01200-01299,96760-96761,12,9
01200-01299,96762,10,9
01200-01299,96763-96774,12,9
01200-01299,96775,10,9
01200-01299,96776-96781,12,9
01200-01299,96782,10,9
01200-01299,96783-96785,12,9
01200-01299,96786,10,9
01200-01299,96787-96788,12,9
01200-01299,96789,10,9
01200-01299,96790,12,9
01200-01299,96791-96792,10,9
01200-01299,96793,12,9
01200-01299,96794-96795,10,9
01200-01299,96796,12,9
01200-01299,96797,10,9
01200-01299,96798-96800,12,9
01200-01299,96801-96863,10,9
01200-01299,96864-96899,12,9
01200-01299,96900-96999,NA,NA
01200-01299,97000-99499,8,99500
01200-01299,99501-99524,9,17
01200-01299,99525-99539,11,17
01200-01299,99540,9,17
01200-01299,99541-99566,11,17
01200-01299,99567,9,17
01200-01299,99568-99576,11,17
01200-01299,99577,9,17
01200-01299,99578-99999,11,17
01300-01399,00000-00399,NA,NA
01300-01399,00400-00599,2,2
01300-01399,00600-00799,*,NA
01300-01399,00800-00899,NA,NA
01300-01399,00900-00999,*,NA
01300-01399,01000-04299,2,2
01300-01399,04300-04499,3,3
01300-01399,04500-04599,2,2
01300-01399,04600-04699,3,3
01300-01399,04700-04799,4,4
01300-01399,04800-04999,3,3
01300-01399,05000-07699,2,2
01300-01399,07700-07899,3,3
01300-01399,07900-07999,2,2
01300-01399,08000-08999,3,3
01300-01399,09000-12999,2,2
01300-01399,13000-13299,3,3
01300-01399,13300-13999,2,2
01300-01399,14000-14299,3,3
01300-01399,14300-14399,4,4
01300-01399,14400-14699,3,3
01300-01399,14700-14799,4,4
01300-01399,14800-14999,3,3
01300-01399,15000-16599,4,4
01300-01399,16600-18799,3,3
01300-01399,18800-18899,2,2
01300-01399,18900-19999,3,3
01300-01399,20000-20999,4,4
01300-01399,21000-21399,3,3
01300-01399,21400-21899,4,4
01300-01399,21900-21999,3,3
01300-01399,22000-24199,4,4
01300-01399,24200-24299,5,5
01300-01399,24300-27999,4,4
01300-01399,28000-28299,5,5
01300-01399,28300-28399,4,4
01300-01399,28400-28499,5,5
01300-01399,28500-28599,4,4
01300-01399,28600-32299,5,5
01300-01399,32300-34999,6,6
01300-01399,35000-35399,5,5
01300-01399,35400-35499,6,6
01300-01399,35500-35999,5,5
01300-01399,36000-36199,6,6
01300-01399,36200-36299,5,5
01300-01399,36300-36799,6,6
01300-01399,36800-36899,5,5
01300-01399,36900-36999,6,6
01300-01399,37000-37499,5,5
01300-01399,37500-37599,6,6
01300-01399,37600-37999,5,5
01300-01399,38000-38199,6,6
01300-01399,38200-38599,5,5
01300-01399,38600-39799,6,6
01300-01399,39800-41099,5,5
01300-01399,41100-41299,4,4
01300-01399,41300-42799,5,5
01300-01399,42800-42999,NA,NA
01300-01399,43000-44999,4,4
01300-01399,45000-45499,5,5
01300-01399,45500-45899,4,4
01300-01399,45900-47999,5,5
01300-01399,48000-48999,4,4
01300-01399,49000-49199,5,5
01300-01399,49200-49299,4,4
01300-01399,49300-49999,5,5
01300-01399,50000-50599,6,6
01300-01399,50600-50799,5,5
01300-01399,50800-51699,6,6
01300-01399,51700-51999,NA,NA
01300-01399,52000-53999,5,5
01300-01399,54000-54099,6,6
01300-01399,54100-54999,5,5
01300-01399,55000-55599,6,6
01300-01399,55600-55999,5,5
01300-01399,56000-57699,6,6
01300-01399,57700-57799,7,7
01300-01399,57800-57999,NA,NA
01300-01399,58000-58599,6,6
01300-01399,58600-59399,7,7
01300-01399,59400-59499,8,8
01300-01399,59500-59599,7,7
01300-01399,59600-59999,8,8
01300-01399,60000-63499,5,5
01300-01399,63500-63599,6,6
01300-01399,63600-63999,5,5
01300-01399,64000-67699,6,6
01300-01399,67700-67999,7,7
01300-01399,68000-68999,6,6
01300-01399,69000-69399,7,7
01300-01399,69400-69999,NA,NA
01300-01399,70000-70599,6,6
01300-01399,70600-70699,7,7
01300-01399,70700-72999,6,6
01300-01399,73000-73699,7,7
01300-01399,73700-73799,6,6
01300-01399,73800-73999,7,7
01300-01399,74000-74999,6,6
01300-01399,75000-75499,7,7
01300-01399,75500-75699,6,6
01300-01399,75700-78499,7,7
01300-01399,78500-78599,8,8
01300-01399,78600-79799,7,7
01300-01399,79800-79999,8,8
01300-01399,80000-81299,7,7
01300-01399,81300-81599,8,8
01300-01399,81600-82099,7,7
01300-01399,82100-82199,8,8
01300-01399,82200-82899,7,7
01300-01399,82900-87599,8,8
01300-01399,87600-87699,NA,NA
01300-01399,87700-87799,7,7
01300-01399,87800-88099,8,8
01300-01399,88100-88199,7,7
01300-01399,88200-88399,8,8
01300-01399,88400-88499,7,7
01300-01399,88500-96699,8,96700
01300-01399,96701,10,9
01300-01399,96702-96705,12,9
01300-01399,96706-96707,10,9
01300-01399,96708,12,9
01300-01399,96709,10,9
01300-01399,96710,12,9
01300-01399,96711-96712,10,9
01300-01399,96713-96716,12,9
01300-01399,96717,10,9
01300-01399,96718-96729,12,9
01300-01399,96730-96731,10,9
01300-01399,96732-96733,12,9
01300-01399,96734,10,9
01300-01399,96735-96743,12,9
01300-01399,96744,10,9
01300-01399,96745-96757,12,9
01300-01399,96758-96759,10,9
01300-01399,96760-96761,12,9
01300-01399,96762,10,9
01300-01399,96763-96774,12,9
01300-01399,96775,10,9
01300-01399,96776-96781,12,9
01300-01399,96782,10,9
01300-01399,96783-96785,12,9
01300-01399,96786,10,9
01300-01399,96787-96788,12,9
01300-01399,96789,10,9
01300-01399,96790,12,9
01300-01399,96791-96792,10,9
01300-01399,96793,12,9
01300-01399,96794-96795,10,9
01300-01399,96796,12,9
01300-01399,96797,10,9
01300-01399,96798-96800,12,9
01300-01399,96801-96863,10,9
01300-01399,96864-96899,12,9
01300-01399,96900-96999,NA,NA
01300-01399,97000-99499,8,99500
01300-01399,99501-99524,9,17
01300-01399,99525-99539,11,17
01300-01399,99540,9,17
01300-01399,99541-99566,11,17
01300-01399,99567,9,17
01300-01399,99568-99576,11,17
01300-01399,99577,9,17
01300-01399,99578-99999,11,17
